t,o,h,l,c
2025-11-17 16:00:00+00:00,548353.4392,549215.3343999998,522213.3041999994,530156.8046000022
2025-11-17 17:00:00+00:00,530064.5828,535044.7379999998,524106.1754000006,525720.5579999987
2025-11-17 18:00:00+00:00,525721.6982000001,530458.856,521228.8151999994,526520.0647999996
2025-11-17 19:00:00+00:00,526496.5068000001,530172.9961999996,509221.3884000002,511189.0292000006
2025-11-17 20:00:00+00:00,511196.6940000001,525045.5633999999,510029.2705999998,522738.7103999995
2025-11-17 21:00:00+00:00,522738.7103999995,525395.0011999998,520901.1935999999,525369.7239999997
2025-11-17 22:00:00+00:00,525229.1474,532848.8102,524446.2627999996,532351.8724000003
2025-11-17 23:00:00+00:00,532343.3582,538278.5992000006,529436.2546000001,538278.2646000007
2025-11-18 00:00:00+00:00,538273.3592,548755.0257999996,538197.4088,546751.9875999995
2025-11-18 01:00:00+00:00,546752.2458000001,550187.3772000001,546182.7137999998,548814.4295999998
2025-11-18 02:00:00+00:00,548814.4295999998,550879.5497999988,533003.3904000003,534100.9462000002
2025-11-18 03:00:00+00:00,534100.7494000002,555213.4723999989,524132.7923999995,553915.6452000004
2025-11-18 04:00:00+00:00,553915.6452000004,559416.289000001,542932.9519999997,559350.5616000012
2025-11-18 05:00:00+00:00,559364.0738000013,560666.9020000001,555815.5338000001,560524.4956
2025-11-18 06:00:00+00:00,560524.4956,562512.1282,549124.948,551217.5370000005
2025-11-18 07:00:00+00:00,551217.537,559772.4268000001,551217.537,559252.9550000001
2025-11-18 08:00:00+00:00,559250.6072000001,575686.2845999998,559160.3226,572239.1416000002
2025-11-18 09:00:00+00:00,572218.7235999999,584903.6332,572077.6791999994,578193.3014000002
2025-11-18 10:00:00+00:00,578193.3014,579008.1653999996,574928.0987999989,575365.9963999988
2025-11-18 11:00:00+00:00,575369.4524,584192.0337999997,556266.1141999995,556269.3703999995
2025-11-18 12:00:00+00:00,556261.392,556659.3041999998,553857.2614000005,553857.5168000003
2025-11-18 13:00:00+00:00,553857.5168000003,553939.5955999998,544311.1522000005,545437.1265999995
2025-11-18 14:00:00+00:00,545438.0576,550259.3846000002,536744.5548,547808.1921999997
2025-11-18 15:00:00+00:00,547808.2524000001,550451.6327999999,541942.2908000001,544359.2033999993
2025-11-18 16:00:00+00:00,544359.2033999993,554691.8491999999,541153.9238,550023.5184000005
2025-11-18 17:00:00+00:00,549965.1574,550304.5291999996,544623.3006000007,548167.5902000003
2025-11-18 18:00:00+00:00,548170.8638000003,550078.3037999998,543943.6714000006,544485.1490000007
2025-11-18 19:00:00+00:00,544584.8262,560196.4632000001,544375.6834000007,560195.9554000001
2025-11-18 20:00:00+00:00,560195.9554000001,561002.1145999996,557358.7595999995,560267.3001999992
2025-11-18 21:00:00+00:00,560263.6373999992,564106.2940000001,543064.5754000002,543110.8406000006
2025-11-18 22:00:00+00:00,543038.2289999999,547927.1148000002,542122.1749999993,543964.0648000004
2025-11-18 23:00:00+00:00,543964.0504000001,544324.6674000004,541529.7898000008,541529.9880000008
2025-11-19 00:00:00+00:00,541529.9880000008,541649.3882,536382.6462000001,537167.2376000001
2025-11-19 01:00:00+00:00,537168.0332,537333.2565999998,531621.0808000001,531621.0808000001
2025-11-19 02:00:00+00:00,531619.124,533549.8974000001,530382.2812,530570.9313999995
2025-11-19 03:00:00+00:00,530570.9313999995,532257.4489999999,522522.8959999999,525104.2361999998
2025-11-19 04:00:00+00:00,525104.2472000001,525662.2406000001,513966.5521999998,514474.1575999996
2025-11-19 05:00:00+00:00,514469.6449999996,517776.9517999993,498055.6536000001,500786.7391999995
2025-11-19 06:00:00+00:00,500777.132,501246.4052,496525.0364000001,496525.0564000001
2025-11-19 07:00:00+00:00,496525.0564,517895.2707999999,496329.4117999999,515120.1409999996
2025-11-19 08:00:00+00:00,515124.32,517211.9882,514615.3182000002,516861.8834000001
2025-11-19 09:00:00+00:00,516861.8834000001,516863.3806,508141.0426,513579.6486000001
2025-11-19 10:00:00+00:00,513583.0636000001,515605.0666000004,512847.8766000002,514276.0890000002
2025-11-19 11:00:00+00:00,514301.3178,518302.0434000001,512967.1008,514399.6644
2025-11-19 12:00:00+00:00,514399.6644,516309.0460000002,512914.1809999998,516309.0460000002
2025-11-19 13:00:00+00:00,516338.0728000002,519996.4736000004,514383.2185999998,516768.2844000004
2025-11-19 14:00:00+00:00,516768.2844000004,522668.664,511594.9038000001,521734.2264
2025-11-19 15:00:00+00:00,521723.7929999999,527966.7241999994,503095.7255999994,504769.6717999986
2025-11-19 16:00:00+00:00,504769.6717999986,514522.5847999997,502563.0034000003,514522.5847999997
2025-11-19 17:00:00+00:00,514524.212,524277.7054000003,513835.5668000001,524276.9932000003
2025-11-19 18:00:00+00:00,524277.0326000003,525281.1304,495772.8435999998,499058.9009999994
2025-11-19 19:00:00+00:00,499028.5664,499097.0180000001,486034.9129999999,490660.5076
2025-11-19 20:00:00+00:00,490660.5076,491042.5466000002,483535.3558000004,488836.9327999998
2025-11-19 21:00:00+00:00,488836.9727999998,492936.1173999996,468141.7083999997,477219.9052000002
2025-11-19 22:00:00+00:00,477155.6198,477508.564,471615.0391999998,474453.6956
2025-11-19 23:00:00+00:00,474520.5914,480928.1448000004,474435.1183999999,475820.3074
2025-11-20 00:00:00+00:00,475795.5948,489589.0726,469857.9931999994,487951.5321999998
2025-11-20 01:00:00+00:00,487996.5626000001,492528.8088,486909.347,489410.7212000003
2025-11-20 02:00:00+00:00,489410.7288,495710.9035999999,487914.8812000004,494032.5328000002
2025-11-20 03:00:00+00:00,494031.7624,495170.3137999999,492474.8919999998,493039.5723999999
2025-11-20 04:00:00+00:00,493040.7162,493347.3848000001,486789.9663999992,493335.2400000001
2025-11-20 05:00:00+00:00,493335.2476,493479.1062000003,482114.6028000002,482795.4557999997
2025-11-20 06:00:00+00:00,482795.4558,483340.2611999998,465779.1646,470232.6806000001
2025-11-20 07:00:00+00:00,470232.6806000001,472447.7122,461968.4304,463630.3079999999
2025-11-20 08:00:00+00:00,463635.7508,468950.3986,462821.1698,468949.8798
2025-11-20 09:00:00+00:00,468948.2654,472609.9545999998,468018.8897999997,471857.2987999998
2025-11-20 10:00:00+00:00,471857.5195999998,484395.5582,471857.5195999998,484359.0935999998
2025-11-20 11:00:00+00:00,484359.0935999998,486994.2089999999,484358.4239999999,486310.2460000002
2025-11-20 12:00:00+00:00,486310.2460000002,486678.0258000001,484740.6616000002,485767.9566000002
2025-11-20 13:00:00+00:00,485788.2236,489053.9947999999,481313.9709999999,488998.1756
2025-11-20 14:00:00+00:00,489010.9584,492153.6143999996,483833.8456000001,491776.3831999999
2025-11-20 15:00:00+00:00,491776.559,493857.1820000002,487757.7083999999,488118.6796000003
